System_name,Account_ID,Employee_NO,Lenel_ID,Email_Address,AD_Account,Creation_Date,Last_Signon,Last_Password_Change,Status,Role_Code,CCM Access,Staff Access
S4423552,ABSACCM,9999999, , , ,2005-04-14,2020-04-15,2020-04-15,ACTIVE, , , 
S4423552,ABTEST,9999999, , , ,2020-04-15,2020-04-15,2020-04-15,ACTIVE, , , 
S4423552,ABUITENDAG,9999999, , , ,2017-12-12,2020-04-15,2020-04-16,ACTIVE, , , 
S4423552,ABUITENDA2,9999999, , , ,2018-07-12,2019-09-01,2020-04-15,INACTIVE, , , 
S4423552,AFB1,0006755, , , ,2014-10-03,2020-04-07,2020-04-07,ACTIVE,EQNGRPFIN,P,P
S4423552,AFB2,0023026, , , ,2018-08-08,2020-04-09,2020-04-09,ACTIVE,ICIBFCBKN, , 
S4423552,AFB7,0012141, , , ,2015-02-06,2020-04-03,2020-04-03,ACTIVE,PBTRANSMON, , 
S4423552,AFB8,0017243, , , ,2015-02-20,2020-04-15,2020-04-15,ACTIVE,ICIBIO,E, 
S4423552,AFC3,0021437, , , ,2019-05-21,2020-04-15,2020-04-15,ACTIVE,PBFINADOM,E,E
S4423552,AFC4,0019546, , , ,2019-05-21,2020-01-14,2020-02-14,INACTIVE,PBFINADOM, , 
S4423552,AFC6,0023737, , , ,2018-10-22,2020-04-15,2020-04-15,ACTIVE,WIRCHEAD, , 
S4423552,AFC7,0017818, , , ,2015-05-06,2020-04-01,2020-04-01,ACTIVE,EQNGRPFIN, , 
S4423552,AFD3,0028567, , , ,2019-03-08,2019-09-05,2020-02-04,INACTIVE,ICIBFCENQ, , 
S4423552,AFD4,0013443, , , ,2015-09-29,2020-04-09,2020-04-09,ACTIVE,ICIBEX,E, 
S4423552,AFF1,0019626, , , ,2017-12-19,2020-04-15,2020-04-15,ACTIVE,ICIBEX, , 
S4423552,AFF4,0027715, , , ,2019-02-26,2020-01-08,2020-02-08,INACTIVE,ICIENQ, , 
S4423552,AFF5,0019488, , , ,2016-07-14,2020-04-01,2020-04-01,ACTIVE,PBFINACC, , 
S4423552,AFG2,0019216, , , ,2016-10-18,2020-04-15,2020-04-15,ACTIVE,PBQDISPUTE,P,P
S4423552,AFK3,0022224, , , ,2017-06-13,2020-04-15,2020-04-15,ACTIVE,ICICCMBO, , 
S4423552,AFK6,0022457, , , ,2017-08-17,2020-04-15,2020-04-15,ACTIVE,ICIBEX, , 
S4423552,AFL2,0020247, , , ,2017-09-13,2020-04-01,2020-04-01,ACTIVE,PBFINACC, , 
S4423552,AFM1,0026313, , , ,2018-10-01,2020-03-26,2020-03-31,ACTIVE,PBBTT, , 
S4423552,AFM2,0019510, , , ,2017-10-27,2020-04-14,2020-04-14,ACTIVE,ICIBFCENQ, , 
S4423552,AFN4,0020120, , , ,2018-04-09,2020-04-15,2020-04-15,ACTIVE,PBBTT, , 
S4423552,AFN5,0021747, , , ,2018-04-16,2020-04-15,2020-04-15,ACTIVE,ICIBFCENQ,E, 
S4423552,AFP4,0019495, , , ,2019-02-21,2020-04-15,2020-04-15,ACTIVE,PBTRANSMON,E, 
S4423552,AF06,0000251, , , ,1989-05-08,2020-04-15,2020-04-15,ACTIVE,ICIBFCBKN, , 
S4423552,AF10,0024136, , , ,2019-01-02,2020-04-15,2020-04-15,ACTIVE,ICIBFCENQ, , 
S4423552,AF11,0015288, , , ,2018-03-02,2020-04-08,2020-04-08,ACTIVE,PBBTT, , 
S4423552,AF13,0015637, , , ,2009-12-15,2020-04-10,2020-04-09,ACTIVE,PBFINACC, , 
S4423552,AF14,0023464, , , ,2018-02-15,2020-04-15,2020-04-15,ACTIVE,ICIBZM, , 
S4423552,AF15,0023725, , , ,2018-05-31,2020-04-15,2020-04-15,ACTIVE,ICIBFCENQ, , 
S4423552,AF18,0013442, , , ,2009-01-23,2020-04-15,2020-04-15,ACTIVE,ICIBIO,E, 
S4423552,AF24,0015055, , , ,2018-02-15,2020-04-01,2020-04-01,ACTIVE,SSSCHEQN, , 
S4423552,AF27,0001639, , , ,1990-10-01,2020-04-15,2020-04-15,ACTIVE,ICIBZL,P, 
S4423552,AF28,0010963, , , ,2005-08-01,2020-04-15,2020-04-15,ACTIVE,ICIBZM,P, 
S4423552,AF29,0024371, , , ,2018-09-14,2020-04-15,2020-04-15,ACTIVE,ICIBFCENQ, , 
S4423552,AF36,0017977, , , ,2012-08-21,2020-04-15,2020-04-15,ACTIVE,ICIBIO,E, 
S4423552,AF45,0017544, , , ,2011-10-31,2020-04-14,2020-04-14,ACTIVE,ICIBFCENQ, , 
S4423552,AF54,0015263, , , ,2018-09-25,2020-03-30,2020-03-26,ACTIVE,PBCLNTMNT, , 
S4423552,AF81,0018547, , , ,2013-09-19,2020-04-06,2020-04-06,ACTIVE,PBFINACC, , 
S4423552,AF82,0001326, , , ,2019-01-17,2019-10-02,2019-11-02,INACTIVE,PBACC, , 
S4423552,AF83,0020115, , , ,2019-05-24,2020-04-15,2020-04-15,ACTIVE,PBFINACC, , 
S4423552,AF96,0017516, , , ,2014-02-10,2020-04-15,2020-04-15,ACTIVE,ICIBFCBKN, , 
S4423552,AF97,0018502, , , ,2013-08-14,2020-04-15,2020-04-15,ACTIVE,EQNGRPFIN, , 
S4423552,ALERT,9999999, , , ,1996-10-14,2020-04-16,2020-04-16,ACTIVE, , , 
