System_Name,Role_Code,Entitlement_Code
S4423552, , 
S4423552,ABC123,.CA
S4423552,DCCIMAACT,.DC
S4423552,DCCIMAACT,.SC
S4423552,DCCIMAACT,.SR
S4423552,DCCIMAACT,/DC
S4423552,DCCIMAACT,/IO
S4423552,DCCIMAACT,/IQ
S4423552,DCCIMAACT,AAE
S4423552,DCCIMAACT,AB
S4423552,DCCIMAACT,ABE
S4423552,DCCIMAACT,AE
S4423552,DCCIMAACT,AIE
S4423552,DCCIMAACT,ANC
S4423552,DCCIMAACT,AS
S4423552,DCCIMAACT,CAA
S4423552,DCCIMAACT,CIM
S4423552,DCCIMAACT,CMN
S4423552,DCCIMAACT,COE
S4423552,DCCIMAACT,DCI
S4423552,DCCIMAACT,DEA
S4423552,DCCIMAACT,MAB
S4423552,DCCIMAACT,MAO
S4423552,DCCIMAACT,MCD
S4423552,DCCIMAACT,MCO
S4423552,DCCIMAACT,OCA
S4423552,DCCIMAACT,OIA
S4423552,DCCIMAACT,PRC
S4423552,DCCIMAACT,TH
S4423552,DCCIMAACT,TS
S4423552,DCCIMAACT,ZZZ
S4423552,DCOLBADMIN,.DC
S4423552,DCOLBADMIN,.SC
S4423552,DCOLBADMIN,.SR
S4423552,DCOLBADMIN,.SX
S4423552,DCOLBADMIN,/CI
S4423552,DCOLBADMIN,/DC
S4423552,DCOLBADMIN,/DM
S4423552,DCOLBADMIN,/OB
S4423552,DCOLBADMIN,/O2
S4423552,DCOLBADMIN,AAE
S4423552,DCOLBADMIN,AAH
S4423552,DCOLBADMIN,AB
S4423552,DCOLBADMIN,ABE
S4423552,DCOLBADMIN,AE
S4423552,DCOLBADMIN,AHE
S4423552,DCOLBADMIN,AHR
S4423552,DCOLBADMIN,AIE
S4423552,DCOLBADMIN,AS
S4423552,DCOLBADMIN,BNK
S4423552,DCOLBADMIN,CAA
S4423552,DCOLBADMIN,CCD
S4423552,DCOLBADMIN,CIM
S4423552,DCOLBADMIN,DEE
S4423552,DCOLBADMIN,DIA
S4423552,DCOLBADMIN,DIE
S4423552,DCOLBADMIN,EAH
S4423552,DCOLBADMIN,ENQ
S4423552,DCOLBADMIN,MCD
S4423552,DCOLBADMIN,PRC
S4423552,DCOLBADMIN,TH
S4423552,DCOLBADMIN,WS
S4423552,DCOLBADMIN,YAI
S4423552,DCOLBADMIN,YAM
S4423552,DCOLBADMIN,YAR
S4423552,DCOLBADMIN,YCD
S4423552,DCOLBADMIN,YCS
S4423552,DCOLBADMIN,YDI
S4423552,EQNGRPFIN,/DC
S4423552,EQNGRPFIN,/PR
S4423552,EQNGRPFIN,ADS
S4423552,EQNGRPFIN,ADW
S4423552,EQNGRPFIN,AE
S4423552,EQNGRPFIN,AGI
S4423552,EQNGRPFIN,AHE
S4423552,EQNGRPFIN,AHR
S4423552,EQNGRPFIN,AIE
S4423552,EQNGRPFIN,AMS
S4423552,EQNGRPFIN,API
S4423552,EQNGRPFIN,AS
S4423552,EQNGRPFIN,ASC
S4423552,EQNGRPFIN,ASE
S4423552,EQNGRPFIN,ASH
S4423552,EQNGRPFIN,BNK
S4423552,EQNGRPFIN,CAA
S4423552,EQNGRPFIN,CBE
S4423552,EQNGRPFIN,CDE
S4423552,EQNGRPFIN,CDW
S4423552,EQNGRPFIN,CFE
S4423552,EQNGRPFIN,CFF
S4423552,EQNGRPFIN,CMM
S4423552,EQNGRPFIN,COE
S4423552,EQNGRPFIN,CPE
S4423552,EQNGRPFIN,CPI
S4423552,EQNGRPFIN,CRE
S4423552,EQNGRPFIN,CSR
S4423552,EQNGRPFIN,C10
S4423552,EQNGRPFIN,C11
S4423552,EQNGRPFIN,C12
S4423552,EQNGRPFIN,C13
