System_Name,Entitlement_Code,Account_ID,CCM Access,Staff Access
S4423552,/SF,AAAA, , 
S4423552,AS,AAAA, , 
S4423552,ENQ,AAAA, , 
S4423552,TH,AAAA, , 
S4423552,/LS,ACB,P,P
S4423552,/MD,ACB,P,P
S4423552,/ME,ACB,P,P
S4423552,AAE,ACB,P,P
S4423552,AB,ACB,P,P
S4423552,ABE,ACB,P,P
S4423552,AE,ACB,P,P
S4423552,AHE,ACB,P,P
S4423552,AIE,ACB,P,P
S4423552,AMS,ACB,P,P
S4423552,AS,ACB,P,P
S4423552,ASE,ACB,P,P
S4423552,ASI,ACB,P,P
S4423552,ATL,ACB,P,P
S4423552,AU,ACB,P,P
S4423552,BAL,ACB,P,P
S4423552,BNK,ACB,P,P
S4423552,CMM,ACB,P,P
S4423552,CSI,ACB,P,P
S4423552,DE,ACB,P,P
S4423552,DEE,ACB,P,P
S4423552,DII,ACB,P,P
S4423552,EAH,ACB,P,P
S4423552,ITB,ACB,P,P
S4423552,JRC,ACB,P,P
S4423552,MMM,ACB,P,P
S4423552,MSI,ACB,P,P
S4423552,MUP,ACB,P,P
S4423552,NLE,ACB,P,P
S4423552,PRC,ACB,P,P
S4423552,SQA,ACB,P,P
S4423552,TH,ACB,P,P
S4423552,TS,ACB,P,P
S4423552,WS,ACB,P,P
S4423552,03S,ACB,P,P
S4423552,11C,ACB,P,P
S4423552,14C,ACB,P,P
S4423552,15C,ACB,P,P
S4423552,17C,ACB,P,P
S4423552,19C,ACB,P,P
S4423552,24C,ACB,P,P
S4423552,25C,ACB,P,P
S4423552,26C,ACB,P,P
S4423552,27C,ACB,P,P
S4423552,28C,ACB,P,P
S4423552,29C,ACB,P,P
S4423552,30C,ACB,P,P
S4423552,31C,ACB,P,P
S4423552,32C,ACB,P,P
S4423552,33C,ACB,P,P
S4423552,35C,ACB,P,P
S4423552,37C,ACB,P,P
S4423552,41C,ACB,P,P
S4423552,46C,ACB,P,P
S4423552,47C,ACB,P,P
S4423552,48C,ACB,P,P
S4423552,49C,ACB,P,P
S4423552,52C,ACB,P,P
S4423552,53C,ACB,P,P
S4423552,54C,ACB,P,P
S4423552,AB,AFBA, , 
S4423552,ABE,AFBA, , 
S4423552,AE,AFBA, , 
S4423552,AIE,AFBA, , 
S4423552,AS,AFBA, , 
S4423552,DEE,AFBA, , 
S4423552,DIE,AFBA, , 
S4423552,ENQ,AFBA, , 
S4423552,TH,AFBA, , 
S4423552,TS,AFBA, , 
S4423552,/DC,AFB1,P,P
S4423552,/PR,AFB1,P,P
S4423552,ADS,AFB1,P,P
S4423552,ADW,AFB1,P,P
S4423552,AE,AFB1,P,P
S4423552,AGI,AFB1,P,P
S4423552,AHE,AFB1,P,P
S4423552,AHR,AFB1,P,P
S4423552,AIE,AFB1,P,P
S4423552,AMS,AFB1,P,P
S4423552,API,AFB1,P,P
S4423552,AS,AFB1,P,P
S4423552,ASC,AFB1,P,P
S4423552,ASE,AFB1,P,P
S4423552,ASH,AFB1,P,P
S4423552,BNK,AFB1,P,P
S4423552,CAA,AFB1,P,P
S4423552,CBE,AFB1,P,P
S4423552,CDE,AFB1,P,P
S4423552,CDW,AFB1,P,P
S4423552,CFE,AFB1,P,P
S4423552,CFF,AFB1,P,P
S4423552,CMM,AFB1,P,P
S4423552,COE,AFB1,P,P
S4423552,CPE,AFB1,P,P
S4423552,CPI,AFB1,P,P
S4423552,CRE,AFB1,P,P
S4423552,CSR,AFB1,P,P
S4423552,C10,AFB1,P,P
S4423552,C11,AFB1,P,P
S4423552,C12,AFB1,P,P
S4423552,C13,AFB1,P,P
S4423552,C15,AFB1,P,P
S4423552,C20,AFB1,P,P
S4423552,C21,AFB1,P,P
S4423552,C22,AFB1,P,P
S4423552,C23,AFB1,P,P
S4423552,C24,AFB1,P,P
S4423552,C25,AFB1,P,P
S4423552,C26,AFB1,P,P
S4423552,C27,AFB1,P,P
S4423552,C30,AFB1,P,P
S4423552,C34,AFB1,P,P
S4423552,C35,AFB1,P,P
S4423552,C43,AFB1,P,P
S4423552,C50,AFB1,P,P
S4423552,DCI,AFB1,P,P
S4423552,DE,AFB1,P,P
S4423552,DEA,AFB1,P,P
S4423552,DEE,AFB1,P,P
S4423552,DNP,AFB1,P,P
S4423552,DSI,AFB1,P,P
S4423552,ENQ,AFB1,P,P
S4423552,FPR,AFB1,P,P
S4423552,FSC,AFB1,P,P
S4423552,HCR,AFB1,P,P
S4423552,JRC,AFB1,P,P
S4423552,KAR,AFB1,P,P
S4423552,MAB,AFB1,P,P
S4423552,MCL,AFB1,P,P
S4423552,MCO,AFB1,P,P
S4423552,MDI,AFB1,P,P
S4423552,MDW,AFB1,P,P
S4423552,MGP,AFB1,P,P
S4423552,MIC,AFB1,P,P
S4423552,MMM,AFB1,P,P
S4423552,MPI,AFB1,P,P
S4423552,MSO,AFB1,P,P
S4423552,MTE,AFB1,P,P
S4423552,NLE,AFB1,P,P
S4423552,NOP,AFB1,P,P
S4423552,NPE,AFB1,P,P
S4423552,NPR,AFB1,P,P
S4423552,NRE,AFB1,P,P
S4423552,OCA,AFB1,P,P
S4423552,PAY,AFB1,P,P
S4423552,PB,AFB1,P,P
S4423552,PRC,AFB1,P,P
S4423552,PSI,AFB1,P,P
S4423552,TH,AFB1,P,P
S4423552,TS,AFB1,P,P
S4423552,URP,AFB1,P,P
S4423552,UVW,AFB1,P,P
S4423552,WS,AFB1,P,P
S4423552,ZZZ,AFB1,P,P
S4423552,ZZ7,AFB1,P,P
S4423552,11C,AFB1,P,P
S4423552,15C,AFB1,P,P
S4423552,29C,AFB1,P,P
S4423552,31C,AFB1,P,P
S4423552,35C,AFB1,P,P
S4423552,37C,AFB1,P,P
S4423552,48C,AFB1,P,P
S4423552,52C,AFB1,P,P
S4423552,/AE,AFB2, , 
S4423552,/DC,AFB2, , 
S4423552,/IQ,AFB2, , 
S4423552,/MD,AFB2, , 
S4423552,/ME,AFB2, , 
S4423552,AAH,AFB2, , 
S4423552,AB,AFB2, , 
S4423552,ABE,AFB2, , 
S4423552,ABO,AFB2, , 
S4423552,ADS,AFB2, , 
S4423552,AE,AFB2, , 
S4423552,AGI,AFB2, , 
S4423552,AHE,AFB2, , 
S4423552,AIE,AFB2, , 
S4423552,AMS,AFB2, , 
S4423552,API,AFB2, , 
S4423552,AS,AFB2, , 
S4423552,ASI,AFB2, , 
S4423552,CBO,AFB2, , 
S4423552,CCM,AFB2, , 
S4423552,CDW,AFB2, , 
